position,image_path,candidate_id,ticker,session_date,visible_maxpush_pct,pm_open_to_momentum_trigger_pct,pm_open_to_scanner_pct,pm_open_to_premarket_extension_high_pct,das_state,first_dip_depth_pct,first_rebreak_type,first_rebreak_ts_et
208,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0208_KLTO_2025-06-10_push42.16_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:KLTO:2025-06-10T08:00:00+00:00,KLTO,2025-06-10,42.1569,52.45098039215685,39.2157,57.35294117647059,rebreak_confirmed,9.3103,last_red_high_break,2025-06-10 04:04:00 EDT
209,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0209_ONCY_2025-01-15_push42.04_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:ONCY:2025-01-15T12:04:00+00:00,ONCY,2025-01-15,42.0389,,30.5842,42.0389461626575,rebreak_confirmed,15.3226,vwap_reclaim_rebreak,2025-01-15 07:24:00 EST
210,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0210_EHGO_2025-07-07_push41.86_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:EHGO:2025-07-07T10:13:00+00:00,EHGO,2025-07-07,41.8605,51.162790697674424,34.8837,120.93023255813955,rebreak_confirmed,6.5574,vwap_reclaim_rebreak,2025-07-07 06:18:00 EDT
211,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0211_HOUR_2025-09-08_push41.63_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:HOUR:2025-09-08T11:01:00+00:00,HOUR,2025-09-08,41.6256,,2.2167,47.044334975369466,rebreak_confirmed,7.8261,ascending_flag_break,2025-09-08 07:41:00 EDT
212,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0212_GXAI_2026-01-26_push41.30_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:GXAI:2026-01-26T09:43:00+00:00,GXAI,2026-01-26,41.3043,53.623188405797116,-15.2174,92.02898550724639,rebreak_confirmed,12.8205,last_red_high_break,2026-01-26 07:41:00 EST
213,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0213_JCSE_2026-01-05_push41.07_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:JCSE:2026-01-05T13:03:00+00:00,JCSE,2026-01-05,41.0714,54.4642857142857,35.7143,57.14285714285713,rebreak_confirmed,8.8608,vwap_reclaim_rebreak,2026-01-05 08:24:00 EST
214,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0214_SGBX_2025-10-17_push40.95_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:SGBX:2025-10-17T08:04:00+00:00,SGBX,2025-10-17,40.9524,,35.2381,48.299319727891174,rebreak_confirmed,10.4247,ascending_flag_break,2025-10-17 04:08:00 EDT
215,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0215_ATCH_2025-02-24_push40.95_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:ATCH:2025-02-24T12:04:00+00:00,ATCH,2025-02-24,40.9471,51.25348189415042,17.5487,64.34540389972146,rebreak_confirmed,15.8103,vwap_reclaim_rebreak,2025-02-24 07:20:00 EST
216,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0216_HTOO_2025-12-03_push40.83_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:HTOO:2025-12-03T12:41:00+00:00,HTOO,2025-12-03,40.8333,,25.0,40.833333333333336,rebreak_confirmed,16.1736,ascending_flag_break,2025-12-03 07:47:00 EST
217,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0217_GLMD_2024-09-17_push40.28_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:GLMD:2024-09-17T08:23:00+00:00,GLMD,2024-09-17,40.2834,,13.3603,47.77327935222671,rebreak_confirmed,8.658,single_candle_rebreak,2024-09-17 04:31:00 EDT
