ticker,ts_utc,date,year,month,o,h,l,c,v,vw,n,t,run_id,market_date,source
SKYQ,2026-07-08T20:05:00Z,2026-07-08,2026,7,3.72,3.73,3.68,3.68,10754,3.7010522038311326,59,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SKYQ,2026-07-08T20:06:00Z,2026-07-08,2026,7,3.6985,3.73,3.6737,3.73,4329,3.6955848232848227,37,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SKYQ,2026-07-08T20:07:00Z,2026-07-08,2026,7,3.7416,3.7416,3.73,3.74,1175,3.731531404255319,10,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T19:51:00Z,2026-07-08,2026,7,2.035,2.07,2.03,2.055,214911,2.0505076692212127,467,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T19:52:00Z,2026-07-08,2026,7,2.0502,2.07,2.03,2.035,219926,2.0520697448232585,490,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T19:53:00Z,2026-07-08,2026,7,2.035,2.06,2.03,2.06,102219,2.04103725139162,337,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T19:54:00Z,2026-07-08,2026,7,2.055,2.06,2.04,2.05,150443,2.0499059783439577,287,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T19:55:00Z,2026-07-08,2026,7,2.045,2.08,2.04,2.0602,293702,2.0598730240175414,601,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T19:56:00Z,2026-07-08,2026,7,2.06,2.08,2.0001,2.065,369099,2.04149546544423,761,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T19:57:00Z,2026-07-08,2026,7,2.06,2.07,2.04,2.0413,81675,2.048398626262626,290,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T19:58:00Z,2026-07-08,2026,7,2.045,2.05,1.99,1.9901,256271,2.0040933238641907,802,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T19:59:00Z,2026-07-08,2026,7,1.995,2.03,1.98,1.985,349793,2.003431407432396,775,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T20:00:00Z,2026-07-08,2026,7,1.975,2.21,1.9701,2.1607,390167,2.141406852962962,1612,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T20:01:00Z,2026-07-08,2026,7,2.1697,2.19,2.1,2.1697,431271,2.1508575438645305,1894,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
