ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
QRTEA,2018-07-19,HARD_FAIL__daily_range__confirmed__0.50-1,26.477456439734148,0.017962996227770794,2,3.0117566210154907,~1x,~1x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11134.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\QRTEA\year=2018\month=07\day=2018-07-19\market.parquet,['trade_price_outside_daily_range'],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],21.165,21.5922,21.3755,21.79,22.24,22.019278036525165,11134.0,True,True,D:\ohlcv_1m\ticker=QRTEA\year=2018\month=07\minute_aggs_QRTEA_2018_07.parquet,D:\ohlcv_daily\ticker=QRTEA\year=2018\day_aggs_QRTEA_2018.parquet,mid,range_break,sev_low,57f_stratified_v0_1,001edc33cf877ca9fcf58997d8912512509e92f2
RELV,2016-12-09,HARD_FAIL__daily_range__confirmed__0.05-0.10,46.96969696969697,0.0,2,1.9821865086769719,~1x,~1x,27.27272727272727,31.428571428571427,15.512155426711423,93.18181818181817,100.0,91.42857142857143,91.42857142857143,17.391304347826086,66.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\RELV\year=2016\month=12\day=2016-12-09\market.parquet,['trade_price_outside_daily_range'],['off_session_trades_present' 'trade_price_outside_1m_range'],4.4,4.6,4.6,4.32,4.63,4.508819420600859,66.0,True,True,D:\ohlcv_1m\ticker=RELV\year=2016\month=12\minute_aggs_RELV_2016_12.parquet,D:\ohlcv_daily\ticker=RELV\year=2016\day_aggs_RELV_2016.parquet,mid,range_break,sev_low,57f_stratified_v0_1,00a9769149761f49437369f0a87e2fe43212fc26
RELV,2017-08-10,HARD_FAIL__daily_range__confirmed__0.10-0.25,30.434782608695656,0.0,1,0.8944488209652929,~1x,~1x,26.08695652173913,12.5,12.5,100.0,100.0,100.0,100.0,35.714285714285715,23.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\RELV\year=2017\month=08\day=2017-08-10\market.parquet,['trade_price_outside_daily_range'],['trade_price_outside_1m_range'],8.6,8.8,8.8,8.5,8.92,8.721288503755055,23.0,True,True,D:\ohlcv_1m\ticker=RELV\year=2017\month=08\minute_aggs_RELV_2017_08.parquet,D:\ohlcv_daily\ticker=RELV\year=2017\day_aggs_RELV_2017.parquet,mid,range_break,sev_low,57f_stratified_v0_1,0018ebb1a7ac3bb6ed73cd64868ca73450f5d0a4
SBSI,2017-05-19,HARD_FAIL__daily_range__confirmed__0.50-1,47.776510832383124,0.22805017103762829,2,2.5435887821108634,~1x,~1x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,877.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\SBSI\year=2017\month=05\day=2017-05-19\market.parquet,['trade_price_outside_daily_range'],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],32.5171,33.0146,32.7305,33.31,33.89,33.563029326328795,877.0,True,True,D:\ohlcv_1m\ticker=SBSI\year=2017\month=05\minute_aggs_SBSI_2017_05.parquet,D:\ohlcv_daily\ticker=SBSI\year=2017\day_aggs_SBSI_2017.parquet,mid,range_break,sev_low,57f_stratified_v0_1,001c4b0c4bfaae4bce78f215794bef480dfe6776
TOPS,2013-12-26,HARD_FAIL__daily_range__confirmed__>5,38.983050847457626,0.0,4,,nan,>1x_other,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\TOPS\year=2013\month=12\day=2013-12-26\market.parquet,['trade_price_outside_daily_range'],"['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'
 'trade_price_outside_1m_range']",2842560000000.0,3175200000000.0,,1.88,2.1,2.0021694389210687,59.0,True,True,D:\ohlcv_1m\ticker=TOPS\year=2013\month=12\minute_aggs_TOPS_2013_12.parquet,D:\ohlcv_daily\ticker=TOPS\year=2013\day_aggs_TOPS_2013.parquet,mid,range_break,sev_low,57f_stratified_v0_1,002019d3c62fb327eb8336ef93ba6dbbf0514e0f
TOPS,2015-01-22,HARD_FAIL__daily_range__confirmed__>5,7.291666666666667,6.25,6,,nan,>1x_other,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\TOPS\year=2015\month=01\day=2015-01-22\market.parquet,['trade_price_outside_daily_range'],"['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'
 'trade_price_outside_1m_range']",232632000000.0,254880000000.0,,1.077,1.18,1.1102395476294973,96.0,True,True,D:\ohlcv_1m\ticker=TOPS\year=2015\month=01\minute_aggs_TOPS_2015_01.parquet,D:\ohlcv_daily\ticker=TOPS\year=2015\day_aggs_TOPS_2015.parquet,mid,range_break,sev_low,57f_stratified_v0_1,00bc60f639da28aa2a0d895ec21896825d86b174
TOPS,2016-07-07,HARD_FAIL__daily_range__confirmed__>5,21.052631578947366,0.0,1,,nan,>1x_other,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,19.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\TOPS\year=2016\month=07\day=2016-07-07\market.parquet,['trade_price_outside_daily_range'],['trade_price_outside_1m_range'],33125760000.0,35424000000.0,,1.5336,1.64,1.588113322009221,19.0,True,True,D:\ohlcv_1m\ticker=TOPS\year=2016\month=07\minute_aggs_TOPS_2016_07.parquet,D:\ohlcv_daily\ticker=TOPS\year=2016\day_aggs_TOPS_2016.parquet,mid,range_break,sev_low,57f_stratified_v0_1,008daec669471ee6ac7faaed44026293867cb5e2
KELYB,2016-06-02,HARD_FAIL__daily_range__confirmed__>5,45.0,0.0,1,77877.10515710867,<1x_other,<1x_other,40.0,36.36363636363637,27.303754266211605,0.0,,0.0,0.0,23.076923076923077,20.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\KELYB\year=2016\month=06\day=2016-06-02\market.parquet,['trade_price_outside_daily_range'],['trade_price_outside_1m_range'],19.0,20.0,19.6241,19.0,40000.01,15302.305093136161,20.0,True,True,D:\ohlcv_1m\ticker=KELYB\year=2016\month=06\minute_aggs_KELYB_2016_06.parquet,D:\ohlcv_daily\ticker=KELYB\year=2016\day_aggs_KELYB_2016.parquet,mid,scale_break,sev_high,57f_stratified_v0_1,4dcc2a4457c940f59d0a77ef452fc112ecc89e84
IHC,2020-11-27,HARD_FAIL__daily_range__confirmed__1-5,92.08633093525181,10.071942446043165,2,0.40877933839518893,~1x,near_1x,18.705035971223023,0.0,0.0,13.333333333333334,16.666666666666664,11.11111111111111,11.11111111111111,26.53061224489796,139.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\IHC\year=2020\month=11\day=2020-11-27\market.parquet,['negative_or_zero_size_rows' 'trade_price_outside_daily_range'],"['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'
 'trade_price_outside_1m_range']",40.09,40.82,40.4687,39.98,42.2695,40.63412768411713,139.0,True,True,D:\ohlcv_1m\ticker=IHC\year=2020\month=11\minute_aggs_IHC_2020_11.parquet,D:\ohlcv_daily\ticker=IHC\year=2020\day_aggs_IHC_2020.parquet,recent,duplicate_break,sev_low,57f_stratified_v0_1,04d318cc448b0249bbf9bb4e9207ba63a4f845db
AIM,2021-06-24,SOFT_FAIL__control,50.26624068157615,3.1948881789137378,4,0.14105231441077853,~1x,~1x,17.784877529286476,12.419700214132762,24.569639139691095,,,,,28.99628252788104,939.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\AIM\year=2021\month=06\day=2021-06-24\market.parquet,[],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],2.1828,2.2078,2.1989,2.185,2.22,2.2020015993415787,939.0,True,True,D:\ohlcv_1m\ticker=AIM\year=2021\month=06\minute_aggs_AIM_2021_06.parquet,D:\ohlcv_daily\ticker=AIM\year=2021\day_aggs_AIM_2021.parquet,recent,mixed_bad,sev_low,57f_stratified_v0_1,00d16d5f44fc5adde1839539766b313ddb4fb32e
