0,1,2,3,4
,"Lopez de Prado,  Marcos; Bailey, David H.",The False Strategy Theorem: A Financial Application of Experimental Mathematics,"American Mathematical Monthly, 128(9), pp. 825-831. 2021.","We estimate the expected value of the maximum Sharpe ratio as a function of the number of trials. Through experimental mathematics, we evaluate the accuracy of the estimate. The implication is that there is no Sharpe ratio threshold above which we may reject the hypothesis that a strategy is false. With enough number of trials, any false strategy may achieve a Sharpe ratio as high as a researcher demands."
,"Easley, David;  Lopez de Prado,  Marcos;  O'Hara, Maureen; Zhang, Zhibai",Microstructure in the Machine Age,"Review of Financial Studies, 34(7), pp. 3316-3363. 2021.","We demonstrate how a machine learning algorithm can be applied to predict and explain modern market microstructure phenomena. We find that some microstructure-based measures are useful for out-of-sample prediction of various market statistics, leading to questions about the efficiency of markets. Our results are derived using 87 of the most liquid futures contracts across all asset classes."
,"Lipton, Alexander; Lopez de Prado,  Marcos",A Closed-Form Solution for Optimal Onrstein-Uhlenbeck driven trading strategies,"International Journal of Theoretical and Applied Finance, 23(8), 2050056. 2020.","The price behavior of intraday prices can be approximated through an Ornstein-Uhlenbeck (OU) process. Using the method of heat potentials, we develop an analytical framework that derives the optimal trading levels of profit-taking, stop-losses, and maximum investment horizon."
,"Lipton, Alexander; Lopez de Prado,  Marcos",A Closed-Form Solution for Optimal Mean-Reverting Trading Strategies,"Risk Magazine, June 2020.","When prices reflect all available information, they oscillate around an equilibrium level. This price behavior can be approximated through an Ornstein-Uhlenbeck (OU) process. A mean-reverting trading strategy can monetize this oscillation at appropriate profit-taking, stop-loss and maximum-horizon levels. This paper develops an analytical framework that derives those optimal levels by using the method of heat potentials."
,"Lopez de Prado,  Marcos",Tactical Investment Algorithms,"Alternative Investment Analyst Review (CAIA), 9(1), pp. 61-65. 2020.","There are three fundamental ways of testing the validity of an investment algorithm against historical evidence: a) the walk-forward method; b) the resampling method; and c) the Monte Carlo method. This papers studies the pros and cons of each method, and explains how investment firms may be organized for utilizing the Monte Carlo method."
,"Lipton, Alexander; Lopez de Prado,  Marcos",What Quants Can Learn from the COVID Crisis,"Risk Magazine, April 2020.","Many quantitative firms have suffered substantial losses as a result of the COVID-19 selloff. In this note, we highlight three lessons that quantitative researchers could learn from this crisis."
,"Song, Jung H.; Lopez de Prado,  Marcos; Simon, Horst D.;  Wu, Kesheng",Extracting Signals from High-Frequency Trading with Digital Signal Processing Tools,"Journal of Financial Data Science, 1(4), pp. 124-138. 2019.","As algorithmic trading becomes more prevalent across all markets, cascading effects similar to the Flash Crash of May 6th 2010 become more likely. A case in point are the impact of weather forecasts on Natural Gas trading. We find that the Fourier components corresponding to high frequencies are becoming more prominent in the recent years, and are much stronger than what could be expected from the structure of this market."
,"Lopez de Prado, Marcos; Lewis, Michael",Detection of False Investment Strategies Using Unsupervised Learning Methods,"Quantitative Finance, 19(9), pp.1555-1565. 2019.","In this paper we examine why false positives are so prevalent in finance, and we offer a practical solution to this industrywide problem."
,"Lopez de Prado,  Marcos;  Fabozzi, Frank",Crowdsourced Investment Research through Tournaments,"Journal of Financial Data Science, 1(4), pp. 1-8. 2019.","Tournaments can overcome the two research barriers (domain-specific knowledge and data barriers), hence enabling the wide population of data scientists to contribute to the development of investment strategies. Accordingly, they constitute a viable quantitative organization paradigm, alongside the silo, factory, and platform paradigms."
,"Lopez de Prado,  Marcos; Vince, Ralph; Zhu, Jim",Optimal Risk Budgeting Under a Finite Investment Horizon,"Risks, 7(3), pp. 86-120. 2019.","Growth Optimal Portfolio (GOP) theory  determines the path of bet sizes that maximize long-term wealth. This  multi-horizon goal makes it more appealing among practitioners than myopic  approaches, like Markowitz's efficient frontier. The GOP literature  typically considers risk-neutral investors with an infinite investment  horizon. In this paper, we compute the optimal bet sizes in the more  realistic setting of risk-averse investors with finite investment horizons."
,"Lopez de Prado,  Marcos",A Data Science Solution to the Multiple-Testing Crisis in Financial Research,"Journal of Financial Data Science, 1(1), pp. 99-110. 2019.","Most discoveries in empirical finance are false, as a consequence of selection bias under multiple testing. We present a real example of how the adjusted false positive probability can be computed and reported for public consumption."
,"Simonian, Joseph;  Lopez de Prado,  Marcos;  Fabozzi, Frank",Order from Chaos: How Data Science Is Revolutionizing Investment Practice,"Journal of Portfolio Management, 45(1), pp. 1-4. 2018.","We describe some of the limitations of the econometrics toolkit, and how financial data science is helping overcome those limitations."
,"Fabozzi, Frank; Lopez de Prado,  Marcos",Being Honest in Backtest Reporting: A Template For Disclosing Multiple Tests,"Journal of Portfolio Management, 45(1), pp. 141-147. 2018.","We propose a template that practitioners could use when pitching strategies to clients and senior management. By disclosing this information, those who are charged with making the final decision about a discovery can evaluate the probability that the purported discovery is false."
,"Aparicio, Diego; Lopez de Prado,  Marcos",How Hard is to Pick the Right Model?,"Algorithmic Finance, 7(1-2), pp. 53-61. 2018.",We evaluate the performance of the model confidence set (MCS) introduced in Hansen et al. (2011). We find that MCS is not robust to multiple testing and that it requires a very high signal-to-noise ratio to discirimnate between true and false positives.
,"Lopez de Prado,  Marcos",The 10 Reasons Most Machine Learning Funds Fail,"Journal of Portfolio Management, 44(6), pp. 120-133. 2018.","The rate of failure in quantitative finance is high, and particularly so in financial machine learning. The few managers who succeed amass a large amount of assets, and deliver consistently exceptional performance to their investors. However, that is a rare outcome, for the reasons outlined in this paper."
