ticker,dataset,http_status,msg,rows_saved,pages,dropped_mismatch,dropped_missing_ticker,out_file,ts_utc
AVIR,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=AVIR\ratios_AVIR.parquet,2026-03-08T13:39:09.800646+00:00
ATAC,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=ATAC\ratios_ATAC.parquet,2026-03-08T13:39:09.816302+00:00
ATHX,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=ATHX\ratios_ATHX.parquet,2026-03-08T13:39:09.823178+00:00
ATRC,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ATRC\ratios_ATRC.parquet,2026-03-08T13:39:09.844438+00:00
AWI,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=AWI\ratios_AWI.parquet,2026-03-08T13:39:09.905125+00:00
AXGT,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=AXGT\ratios_AXGT.parquet,2026-03-08T13:39:09.939183+00:00
AXON,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=AXON\ratios_AXON.parquet,2026-03-08T13:39:09.997864+00:00
BAM,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BAM\ratios_BAM.parquet,2026-03-08T13:39:09.998202+00:00
AZO,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=AZO\ratios_AZO.parquet,2026-03-08T13:39:10.001322+00:00
BATRK,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BATRK\ratios_BATRK.parquet,2026-03-08T13:39:10.013193+00:00
BATRA,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BATRA\ratios_BATRA.parquet,2026-03-08T13:39:10.098638+00:00
BCAC,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=BCAC\ratios_BCAC.parquet,2026-03-08T13:39:11.125435+00:00
BBT,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BBT\ratios_BBT.parquet,2026-03-08T13:39:11.130795+00:00
BBBY,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BBBY\ratios_BBBY.parquet,2026-03-08T13:39:11.146428+00:00
BCOV,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=BCOV\ratios_BCOV.parquet,2026-03-08T13:39:11.167320+00:00
