ticker,date,total_volume,short_volume,exempt_volume,non_exempt_volume,short_volume_ratio,nyse_short_volume,nyse_short_volume_exempt,nasdaq_carteret_short_volume,nasdaq_carteret_short_volume_exempt,nasdaq_chicago_short_volume,nasdaq_chicago_short_volume_exempt,adf_short_volume,adf_short_volume_exempt,orf_short_volume,orf_short_volume_exempt
CPS,2018-08-02,69271.0,20583.0,0.0,20583.0,29.71,251.0,0.0,8228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-02,30986.0,8479.0,0.0,8479.0,27.36,198.0,0.0,20385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-02,30986.0,8479.0,0.0,8479.0,27.36,198.0,0.0,8228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-02,30986.0,8479.0,0.0,8479.0,27.36,251.0,0.0,20385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-02,30986.0,8479.0,0.0,8479.0,27.36,251.0,0.0,8228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-03,27399.0,10751.0,0.0,10751.0,39.24,260.0,0.0,10491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-03,27399.0,10751.0,0.0,10751.0,39.24,260.0,0.0,3605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-03,27399.0,10751.0,0.0,10751.0,39.24,121.0,0.0,10491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-03,27399.0,10751.0,0.0,10751.0,39.24,121.0,0.0,3605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-03,14484.0,3726.0,0.0,3726.0,25.72,260.0,0.0,10491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-03,14484.0,3726.0,0.0,3726.0,25.72,260.0,0.0,3605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-03,14484.0,3726.0,0.0,3726.0,25.72,121.0,0.0,10491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-03,14484.0,3726.0,0.0,3726.0,25.72,121.0,0.0,3605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-06,34356.0,17566.0,0.0,17566.0,51.13,598.0,0.0,16968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
