ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
EFSH,2022-08-12,HARD_FAIL__daily_range__confirmed__>5,35.718809373020896,2.9132362254591513,3,99.98990491407294,~10000x,>1x_other,100.0,100.0,100.0,,,,,100.0,1579.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\EFSH\year=2022\month=08\day=2022-08-12\market.parquet,['trade_price_outside_daily_range'],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],26931.2727,33593.1818,32907.1364,3.03,3.79,3.322003695716662,1579.0,True,True,D:\ohlcv_1m\ticker=EFSH\year=2022\month=08\minute_aggs_EFSH_2022_08.parquet,D:\ohlcv_daily\ticker=EFSH\year=2022\day_aggs_EFSH_2022.parquet,recent,~10000x,sev_high,57f_stratified_v0_1,00117587b265c04c7074cca93c855f0eebf50c70
INPX,2023-12-08,HARD_FAIL__daily_range__confirmed__>5,28.029445073612685,0.9909399773499434,3,99.00251929755744,~100x,~100x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3532.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\INPX\year=2023\month=12\day=2023-12-08\market.parquet,['trade_price_outside_daily_range'],"['duplicate_exact_trade_rows_present' 'off_session_trades_present'
 'trade_price_outside_1m_range']",6.5,7.2,6.8126,0.065,0.072,0.06795437033460167,3532.0,True,True,D:\ohlcv_1m\ticker=INPX\year=2023\month=12\minute_aggs_INPX_2023_12.parquet,D:\ohlcv_daily\ticker=INPX\year=2023\day_aggs_INPX_2023.parquet,recent,~100x,sev_high,57f_stratified_v0_1,000079aa2073e8edef3d19b6628086d24c262c3f
ADVM,2019-10-09,SOFT_FAIL__control,45.63063729114298,0.10350436196954013,4,89.97109329023198,~10x,~10x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6763.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ADVM\year=2019\month=10\day=2019-10-09\market.parquet,[],"['duplicate_exact_trade_rows_present'
 'possible_corporate_action_scale_mismatch'
 'possible_corporate_action_scale_mismatch_vs_1m']",51.0,56.5,52.7717,5.1,5.69,5.292424562158654,6763.0,True,True,D:\ohlcv_1m\ticker=ADVM\year=2019\month=10\minute_aggs_ADVM_2019_10.parquet,D:\ohlcv_daily\ticker=ADVM\year=2019\day_aggs_ADVM_2019.parquet,recent,~10x,sev_high,57f_stratified_v0_1,0000837f05dd0bb10e23c4ea829009828fac1ae7
ADVM,2021-06-04,SOFT_FAIL__control,43.142495428330285,2.82740188493459,5,89.99886752302959,~10x,~10x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7109.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ADVM\year=2021\month=06\day=2021-06-04\market.parquet,[],"['duplicate_exact_trade_rows_present'
 'possible_corporate_action_scale_mismatch'
 'possible_corporate_action_scale_mismatch_vs_1m']",33.5,34.145,33.7451,3.35,3.43,3.374892155486142,7109.0,True,True,D:\ohlcv_1m\ticker=ADVM\year=2021\month=06\minute_aggs_ADVM_2021_06.parquet,D:\ohlcv_daily\ticker=ADVM\year=2021\day_aggs_ADVM_2021.parquet,recent,~10x,sev_high,57f_stratified_v0_1,0000a6174e6decf3604a569f5b4678b6abc7bdba
ANGI,2021-06-24,SOFT_FAIL__control,59.880348078317624,3.2269760696156635,4,90.0101766961093,~10x,~10x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5516.0,reference_scale_mismatch,D:\trades_ticks_prod_2005_2026\ANGI\year=2021\month=06\day=2021-06-24\market.parquet,[],"['duplicate_exact_trade_rows_present'
 'possible_corporate_action_scale_mismatch'
 'possible_corporate_action_scale_mismatch_vs_1m']",136.4,141.1,138.5209,13.64,14.23,13.837993148959132,5516.0,True,True,D:\ohlcv_1m\ticker=ANGI\year=2021\month=06\minute_aggs_ANGI_2021_06.parquet,D:\ohlcv_daily\ticker=ANGI\year=2021\day_aggs_ANGI_2021.parquet,recent,~10x,sev_high,57f_stratified_v0_1,000149c5c8fc1833328a7d8f0f9b3c916fcfe43f
APRN,2020-10-30,HARD_FAIL__daily_range__confirmed__>5,32.81508232845688,2.0321968537675215,4,91.66420796269283,~12x,~12x,100.0,100.0,100.0,,,,,100.0,16337.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\APRN\year=2020\month=10\day=2020-10-30\market.parquet,['trade_price_outside_daily_range'],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],49.8,57.84,52.9154,4.15,4.82,4.410917699709244,16337.0,True,True,D:\ohlcv_1m\ticker=APRN\year=2020\month=10\minute_aggs_APRN_2020_10.parquet,D:\ohlcv_daily\ticker=APRN\year=2020\day_aggs_APRN_2020.parquet,recent,~12x,sev_high,57f_stratified_v0_1,00023b6365298f4efa86f18471156dc327f8bca0
OPAD,2022-01-12,HARD_FAIL__daily_range__confirmed__>5,38.85079214944432,3.5942303144951526,8,93.33505702495492,~15x,~15x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4229.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\OPAD\year=2022\month=01\day=2022-01-12\market.parquet,['trade_price_outside_daily_range'],"['duplicate_exact_trade_rows_present' 'off_session_trades_present'
 'trade_price_outside_1m_range']",74.25,77.4,75.2189,4.95,5.16,5.013296791456191,4229.0,True,True,D:\ohlcv_1m\ticker=OPAD\year=2022\month=01\minute_aggs_OPAD_2022_01.parquet,D:\ohlcv_daily\ticker=OPAD\year=2022\day_aggs_OPAD_2022.parquet,recent,~15x,sev_high,57f_stratified_v0_1,000290a2eb31f62c08f58bebc459dc0d1049de44
BBGI,2024-12-06,HARD_FAIL__daily_range__confirmed__0.50-1,97.22222222222221,0.0,2,0.24363146202016336,~1x,~1x,97.22222222222221,0.0,0.0,0.0,,0.0,0.0,96.42857142857143,36.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BBGI\year=2024\month=12\day=2024-12-06\market.parquet,['trade_price_outside_daily_range'],"['duplicate_exact_trade_rows_present' 'off_session_trades_present'
 'trade_price_outside_1m_range']",8.6164,8.6164,8.3851,8.08,8.78,8.364671258278147,36.0,True,True,D:\ohlcv_1m\ticker=BBGI\year=2024\month=12\minute_aggs_BBGI_2024_12.parquet,D:\ohlcv_daily\ticker=BBGI\year=2024\day_aggs_BBGI_2024.parquet,recent,~1x,sev_low,57f_stratified_v0_1,0000b57f9e68f7571bc5e9f99f48f4d0e47a749f
GEGGL,2024-02-20,HARD_FAIL__daily_range__confirmed__0.50-1,59.09090909090909,0.0,1,0.14335613904615932,~1x,~1x,40.909090909090914,0.0,0.0,18.181818181818183,100.0,0.0,0.0,33.333333333333336,22.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\GEGGL\year=2024\month=02\day=2024-02-20\market.parquet,['trade_price_outside_daily_range'],['off_session_trades_present' 'trade_price_outside_1m_range'],21.7011,22.5899,22.0302,21.0606,22.5899,21.998618355855854,22.0,True,True,D:\ohlcv_1m\ticker=GEGGL\year=2024\month=02\minute_aggs_GEGGL_2024_02.parquet,D:\ohlcv_daily\ticker=GEGGL\year=2024\day_aggs_GEGGL_2024.parquet,recent,~1x,sev_low,57f_stratified_v0_1,0000ae637745dc2adbc6d33591c0e17f7e4113c4
LUMO,2022-04-01,HARD_FAIL__daily_range__confirmed__0.25-0.50,80.26315789473685,0.0,1,0.09363316360183128,~1x,near_1x,18.421052631578945,0.0,0.0,40.625,76.47058823529412,0.0,0.0,28.571428571428573,76.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\LUMO\year=2022\month=04\day=2022-04-01\market.parquet,['trade_price_outside_daily_range'],['trade_price_outside_1m_range'],9.22,9.54,9.2924,8.75,10.0,9.301100768094537,76.0,True,True,D:\ohlcv_1m\ticker=LUMO\year=2022\month=04\minute_aggs_LUMO_2022_04.parquet,D:\ohlcv_daily\ticker=LUMO\year=2022\day_aggs_LUMO_2022.parquet,recent,~1x,sev_low,57f_stratified_v0_1,0000811a720a6893bc62d136552bd3f450064a61
