ticker,date,rows_for_key,excess_rows
CPS,2019-01-10,8,7
CPS,2019-01-11,8,7
CPS,2019-01-14,8,7
CPS,2019-01-15,8,7
CPS,2019-01-16,8,7
CPS,2019-01-17,8,7
CPS,2019-01-18,8,7
CPS,2019-01-22,8,7
CPS,2019-01-23,8,7
CPS,2019-01-24,8,7
CPS,2019-01-25,8,7
CPS,2019-01-28,8,7
CPS,2019-01-29,8,7
CPS,2019-01-30,8,7
CPS,2019-01-31,8,7
CPS,2019-02-01,8,7
CPS,2019-02-04,8,7
CPS,2019-02-05,8,7
CPS,2019-02-06,8,7
CPS,2019-02-07,8,7
CPS,2019-02-08,8,7
CPS,2019-02-11,8,7
CPS,2019-02-12,8,7
CPS,2019-02-13,8,7
CPS,2019-02-14,8,7
CPS,2019-02-15,8,7
CPS,2019-02-19,8,7
CPS,2019-02-20,8,7
CPS,2019-02-21,8,7
CPS,2019-02-22,8,7
CPS,2019-02-25,8,7
CPS,2019-02-26,8,7
CPS,2019-02-27,8,7
CPS,2019-02-28,8,7
CPS,2019-03-01,8,7
CPS,2019-03-04,8,7
CPS,2019-03-05,8,7
CPS,2019-03-06,8,7
CPS,2019-03-07,8,7
CPS,2019-03-08,8,7
CPS,2019-03-11,4,3
CPS,2019-03-12,8,7
CPS,2019-03-13,8,7
CPS,2019-03-14,4,3
CPS,2019-03-15,4,3
CPS,2019-03-18,8,7
CPS,2019-03-19,4,3
CPS,2019-03-20,8,7
CPS,2019-03-21,8,7
CPS,2019-03-22,8,7
CPS,2019-03-25,8,7
CPS,2019-03-26,8,7
CPS,2019-03-27,8,7
CPS,2019-03-28,8,7
CPS,2019-03-29,8,7
CPS,2019-04-01,8,7
CPS,2019-04-02,8,7
CPS,2019-04-03,8,7
CPS,2019-04-04,8,7
CPS,2019-04-05,8,7
CPS,2019-04-08,8,7
CPS,2019-04-09,8,7
CPS,2019-04-10,8,7
CPS,2019-04-11,8,7
CPS,2019-04-12,8,7
CPS,2019-04-15,8,7
CPS,2019-04-16,8,7
CPS,2019-04-17,8,7
CPS,2019-04-18,8,7
CPS,2019-04-22,8,7
CPS,2019-04-23,8,7
CPS,2019-04-24,8,7
CPS,2019-04-25,8,7
CPS,2019-04-26,8,7
CPS,2019-04-29,8,7
CPS,2019-04-30,8,7
CPS,2019-05-01,8,7
CPS,2019-05-02,8,7
CPS,2019-05-03,8,7
CPS,2019-05-06,8,7
CPS,2019-05-07,8,7
CPS,2019-05-08,8,7
CPS,2019-05-09,8,7
CPS,2019-05-10,8,7
CPS,2019-05-13,8,7
CPS,2019-05-14,8,7
CPS,2019-05-15,8,7
CPS,2019-05-16,8,7
CPS,2019-05-17,8,7
CPS,2019-05-20,8,7
CPS,2019-05-21,8,7
CPS,2019-05-22,8,7
CPS,2019-05-23,8,7
CPS,2019-05-24,8,7
CPS,2019-05-28,8,7
CPS,2019-05-29,8,7
CPS,2019-05-30,8,7
CPS,2019-05-31,8,7
CPS,2019-06-03,8,7
CPS,2019-06-04,8,7
CPS,2019-06-05,4,3
CPS,2019-06-06,8,7
CPS,2019-06-07,8,7
CPS,2019-06-10,8,7
CPS,2019-06-11,8,7
CPS,2019-06-12,8,7
CPS,2019-06-13,16,15
CPS,2019-06-14,8,7
CPS,2019-06-17,8,7
CPS,2019-06-18,8,7
CPS,2019-06-19,8,7
CPS,2019-06-20,8,7
CPS,2019-06-21,8,7
CPS,2019-06-24,8,7
CPS,2019-06-25,8,7
CPS,2019-06-26,8,7
CPS,2019-06-27,8,7
