run_id,market_date,ticker,symbol,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,conditions,indicators,participant_timestamp,sequence_number,timestamp,trf_timestamp,tape,source_time_et,observed_at_utc,last_price,session_volume,session_high,session_low,session_open,prev_close,today_close,vwap,trades_all_day,relative_volume,year,month,day,event_line_index,command,stage,raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,INTC,INTC,,107.91,2,,107.9,1,,,,,2026-07-08T19:38:02Z,,Q,15:38:02,2026-07-08T19:38:03+00:00,107.91,83672958,110.3,104.41,108.31,110.39,0,107.28,889662,76,2026,7,8,4,SB INTC Lv1,screener_lv1,$Quote INTC A:107.91 Asz:2 B:107.9 Bsz:1 V:83672958 L:107.91 Hi:110.3 Lo:104.41 op:108.31 ycl:110.39 tcl:0 PE:Q VWAP:107.28 tradesAllDay:889662 RVOL:76 T:15:38:02
das_cmdapi_live_20260708T193719Z,2026-07-08,INTC,INTC,,107.9,4,,107.88,3,,,,,2026-07-08T19:38:03Z,,Q,15:38:03,2026-07-08T19:38:03+00:00,107.9,83673692,110.3,104.41,108.31,110.39,0,107.28,889674,76,2026,7,8,5,SB INTC Lv1,screener_lv1,$Quote INTC A:107.9 Asz:4 B:107.88 Bsz:3 V:83673692 L:107.9 Hi:110.3 Lo:104.41 op:108.31 ycl:110.39 tcl:0 PE:Q VWAP:107.28 tradesAllDay:889674 RVOL:76 T:15:38:03
das_cmdapi_live_20260708T193719Z,2026-07-08,INTC,INTC,,107.91,7,,107.88,3,,,,,2026-07-08T19:38:03Z,,Q,15:38:03,2026-07-08T19:38:03+00:00,107.89,83674772,110.3,104.41,108.31,110.39,0,107.28,889676,76,2026,7,8,6,SB INTC Lv1,screener_lv1,$Quote INTC A:107.91 Asz:7 B:107.88 Bsz:3 V:83674772 L:107.89 Hi:110.3 Lo:104.41 op:108.31 ycl:110.39 tcl:0 PE:Q VWAP:107.28 tradesAllDay:889676 RVOL:76 T:15:38:03
das_cmdapi_live_20260708T193719Z,2026-07-08,SOFI,SOFI,,17.65,102,,17.64,39,,,,,2026-07-08T19:38:04Z,,Q,15:38:04,2026-07-08T19:38:05+00:00,17.641,78149317,17.641,17.08,17.34,17.75,0,17.381,178382,110,2026,7,8,0,SB SOFI Lv1,screener_lv1,$Quote SOFI A:17.65 Asz:102 B:17.64 Bsz:39 V:78149317 L:17.641 Hi:17.641 Lo:17.08 op:17.34 ycl:17.75 tcl:0 PE:Q VWAP:17.381 tradesAllDay:178382 RVOL:110 T:15:38:04
das_cmdapi_live_20260708T193719Z,2026-07-08,SOFI,SOFI,,17.65,123,,17.64,14,,,,,2026-07-08T19:38:05Z,,Q,15:38:05,2026-07-08T19:38:05+00:00,17.6411,78156423,17.6411,17.08,17.34,17.75,0,17.381,178386,110,2026,7,8,2,SB SOFI Lv1,screener_lv1,$Quote SOFI A:17.65 Asz:123 B:17.64 Bsz:14 V:78156423 L:17.6411 Hi:17.6411 Lo:17.08 op:17.34 ycl:17.75 tcl:0 PE:Q VWAP:17.381 tradesAllDay:178386 RVOL:110 T:15:38:05
das_cmdapi_live_20260708T193719Z,2026-07-08,SOFI,SOFI,,17.65,123,,17.64,14,,,,,2026-07-08T19:38:05Z,,Q,15:38:05,2026-07-08T19:38:05+00:00,17.645,78178478,17.645,17.08,17.34,17.75,0,17.381,178394,110,2026,7,8,3,SB SOFI Lv1,screener_lv1,$Quote SOFI A:17.65 Asz:123 B:17.64 Bsz:14 V:78178478 L:17.645 Hi:17.645 Lo:17.08 op:17.34 ycl:17.75 tcl:0 PE:Q VWAP:17.381 tradesAllDay:178394 RVOL:110 T:15:38:05
das_cmdapi_live_20260708T193719Z,2026-07-08,BIYA,BIYA,,0.5535,12,,0.5375,6,,,,,2026-07-08T19:38:04Z,,Q,15:38:04,2026-07-08T19:38:08+00:00,0.5399,74518546,0.6354,0.2988,0.2994,0.413,0,0.5272,156064,309,2026,7,8,0,SB BIYA Lv1,screener_lv1,$Quote BIYA A:0.5535 Asz:12 B:0.5375 Bsz:6 V:74518546 L:0.5399 Hi:0.6354 Lo:0.2988 op:0.2994 ycl:0.413 tcl:0 PE:Q VWAP:0.5272 tradesAllDay:156064 RVOL:309 T:15:38:04
das_cmdapi_live_20260708T193719Z,2026-07-08,NVD,NVD,,4.93,1792,,4.92,2260,,,,,2026-07-08T19:38:09Z,,Q,15:38:09,2026-07-08T19:38:10+00:00,4.93,73090233,5.47,4.9213,5.47,5.38,0,5.2117,22056,137,2026,7,8,0,SB NVD Lv1,screener_lv1,$Quote NVD A:4.93 Asz:1792 B:4.92 Bsz:2260 V:73090233 L:4.93 Hi:5.47 Lo:4.9213 op:5.47 ycl:5.38 tcl:0 PE:Q VWAP:5.2117 tradesAllDay:22056 RVOL:137 T:15:38:09
das_cmdapi_live_20260708T193719Z,2026-07-08,NVD,NVD,,4.94,1866,,4.93,2527,,,,,2026-07-08T19:38:10Z,,Q,15:38:10,2026-07-08T19:38:10+00:00,4.93,73188154,5.47,4.9213,5.47,5.38,0,5.2113,22075,137,2026,7,8,2,SB NVD Lv1,screener_lv1,$Quote NVD A:4.94 Asz:1866 B:4.93 Bsz:2527 V:73188154 L:4.93 Hi:5.47 Lo:4.9213 op:5.47 ycl:5.38 tcl:0 PE:Q VWAP:5.2113 tradesAllDay:22075 RVOL:137 T:15:38:10
das_cmdapi_live_20260708T193719Z,2026-07-08,CPOP,CPOP,,0.07,56,,0.0699,2,,,,,2026-07-08T19:38:11Z,,Q,15:38:11,2026-07-08T19:38:13+00:00,0.06995,71643526,0.072,0.055,0.063,0.1019,0,0.062986,46338,128,2026,7,8,0,SB CPOP Lv1,screener_lv1,$Quote CPOP A:0.07 Asz:56 B:0.0699 Bsz:2 V:71643526 L:0.06995 Hi:0.072 Lo:0.055 op:0.063 ycl:0.1019 tcl:0 PE:Q VWAP:0.062986 tradesAllDay:46338 RVOL:128 T:15:38:11
