run_id,market_date,ticker,symbol,event_type,filter_status,session,observed_at_utc,price_usd,volume_shares,market_cap_usd,market_cap_asof_date,market_cap_source,failure_reasons,toplist_seen,capture_status,lv1_bid,lv1_ask,lv1_last,lv1_volume,quote_raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,CWVX,CWVX,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:19+00:00,20.35,780931,,,unavailable_in_market_cap_reference,market_cap_unavailable|price_outside_range,True,,20.31,20.37,20.35,780931,$Quote CWVX A:20.37 Asz:0 B:20.31 Bsz:0 V:780931 L:20.35 Hi:20.38 Lo:17.54 op:17.54 ycl:17.95 tcl:0 PE:A VWAP:18.936 tradesAllDay:6020 RVOL:80 T:15:41:14
das_cmdapi_live_20260708T193719Z,2026-07-08,BZH,BZH,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:21+00:00,31.04,1371221,642490880.0,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,market_cap_above_limit|price_outside_range,True,,30.97,31.04,31.04,1371221,$Quote BZH A:31.04 Asz:3 B:30.97 Bsz:1 V:1371221 L:31.04 Hi:31.93 Lo:30.8 op:31.3 ycl:27.42 tcl:0 PE:N VWAP:31.33 tradesAllDay:16429 RVOL:410 T:15:40:30
das_cmdapi_live_20260708T193719Z,2026-07-08,BEZ,BEZ,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:24+00:00,15.05,2556594,,,unavailable_in_market_cap_reference,market_cap_unavailable,True,,15.04,15.1,15.05,2556594,$Quote BEZ A:15.1 Asz:0 B:15.04 Bsz:0 V:2556594 L:15.05 Hi:16.47 Lo:13.32 op:13.85 ycl:13.24 tcl:0 PE:A VWAP:15.241 tradesAllDay:13861 RVOL:342 T:15:41:05
das_cmdapi_live_20260708T193719Z,2026-07-08,BABA,BABA,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:27+00:00,109.45,33784721,,,unavailable_in_market_cap_reference,market_cap_unavailable|price_outside_range,True,,109.44,109.46,109.45,33784721,$Quote BABA A:109.46 Asz:3 B:109.44 Bsz:7 V:33784721 L:109.45 Hi:109.82 Lo:105.65 op:107.6 ycl:98.14 tcl:0 PE:N VWAP:108.3 tradesAllDay:343692 RVOL:296 T:15:41:24
das_cmdapi_live_20260708T193719Z,2026-07-08,CVM,CVM,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:29+00:00,1.39,285730,31582011.66,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,volume_below_min,True,,1.39,1.4,1.39,285730,$Quote CVM A:1.4 Asz:1 B:1.39 Bsz:1 V:285730 L:1.39 Hi:1.44 Lo:1.25 op:1.29 ycl:1.28 tcl:0 PE:A VWAP:1.3347 tradesAllDay:1229 RVOL:69 T:15:41:26
das_cmdapi_live_20260708T193719Z,2026-07-08,PARR,PARR,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:31+00:00,68.225,1015397,,,unavailable_in_market_cap_reference,market_cap_unavailable|price_outside_range,True,,68.17,68.28,68.225,1015397,$Quote PARR A:68.28 Asz:1 B:68.17 Bsz:8 V:1015397 L:68.225 Hi:68.295 Lo:63.92 op:63.92 ycl:61.46 tcl:0 PE:N VWAP:66.887 tradesAllDay:20316 RVOL:135 T:15:41:16
das_cmdapi_live_20260708T193719Z,2026-07-08,EAF,EAF,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:33+00:00,5.905,265795,150220589.75,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,market_cap_above_limit|volume_below_min,True,,5.89,5.92,5.905,265795,$Quote EAF A:5.92 Asz:2 B:5.89 Bsz:2 V:265795 L:5.905 Hi:5.945 Lo:5.1 op:5.31 ycl:5.38 tcl:0 PE:N VWAP:5.6238 tradesAllDay:3988 RVOL:75 T:15:41:13
das_cmdapi_live_20260708T193719Z,2026-07-08,CIFU,CIFU,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:36+00:00,24.98,366552,,,unavailable_in_market_cap_reference,market_cap_unavailable|price_outside_range,True,,24.92,25.04,24.98,366552,$Quote CIFU A:25.04 Asz:2 B:24.92 Bsz:37 V:366552 L:24.98 Hi:24.98 Lo:21.79 op:21.79 ycl:22.57 tcl:0 PE:A VWAP:24.049 tradesAllDay:2712 RVOL:311 T:15:41:33
das_cmdapi_live_20260708T193719Z,2026-07-08,NBIZ,NBIZ,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:38+00:00,9.67,5008667,,,unavailable_in_market_cap_reference,market_cap_unavailable,True,,9.65,9.68,9.67,5008667,$Quote NBIZ A:9.68 Asz:25 B:9.65 Bsz:20 V:5008667 L:9.67 Hi:12.375 Lo:9.6 op:12.3 ycl:12.06 tcl:0 PE:A VWAP:10.912 tradesAllDay:17833 RVOL:133 T:15:41:34
das_cmdapi_live_20260708T193719Z,2026-07-08,OFRM,OFRM,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:41+00:00,18.0401,717324,,,unavailable_in_market_cap_reference,market_cap_unavailable,True,,18.04,18.08,18.0401,717324,$Quote OFRM A:18.08 Asz:0 B:18.04 Bsz:0 V:717324 L:18.0401 Hi:21.77 Lo:18.04 op:21.61 ycl:21.62 tcl:0 PE:N VWAP:19.458 tradesAllDay:13319 RVOL:118 T:15:41:36
das_cmdapi_live_20260708T193719Z,2026-07-08,SIF,SIF,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:43+00:00,21.52,346230,77203200.0,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,price_outside_range,True,,21.43,21.68,21.52,346230,$Quote SIF A:21.68 Asz:3 B:21.43 Bsz:10 V:346230 L:21.52 Hi:25.99 Lo:21.43 op:25.56 ycl:25.71 tcl:0 PE:A VWAP:23.126 tradesAllDay:3392 RVOL:341 T:15:41:30
das_cmdapi_live_20260708T193719Z,2026-07-08,IREZ,IREZ,screener_evaluated,FAIL,regular_market,2026-07-08T19:41:46+00:00,8.11,4805345,,,unavailable_in_market_cap_reference,market_cap_unavailable,True,,8.11,8.12,8.11,4805345,$Quote IREZ A:8.12 Asz:0 B:8.11 Bsz:0 V:4805345 L:8.11 Hi:9.26 Lo:8.06 op:9.04 ycl:9.47 tcl:0 PE:A VWAP:8.7932 tradesAllDay:20338 RVOL:86 T:15:41:44
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,capture_started,PASS,regular_market,2026-07-08T19:41:56+00:00,3.71,55770341,6564386.76,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,3.69,3.74,3.71,55770341,$Quote SKYQ A:3.74 Asz:7 B:3.69 Bsz:3 V:55770341 L:3.71 Hi:4.39 Lo:3.14 op:3.475 ycl:3 tcl:0 PE:Q VWAP:3.8823 tradesAllDay:300253 RVOL:266 T:15:38:16
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,capture_subscribed,PASS,regular_market,2026-07-08T19:42:18+00:00,3.71,55770341,6564386.76,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,3.69,3.74,3.71,55770341,$Quote SKYQ A:3.74 Asz:7 B:3.69 Bsz:3 V:55770341 L:3.71 Hi:4.39 Lo:3.14 op:3.475 ycl:3 tcl:0 PE:Q VWAP:3.8823 tradesAllDay:300253 RVOL:266 T:15:38:16
das_cmdapi_live_20260708T193719Z,2026-07-08,NVVE,NVVE,capture_started,PASS,regular_market,2026-07-08T19:42:18+00:00,8.9613,36604415,15027.14925,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,8.94,9.0,8.9613,36604415,$Quote NVVE A:9 Asz:2 B:8.94 Bsz:3 V:36604415 L:8.9613 Hi:11.9794 Lo:4.935 op:5.19 ycl:5.19 tcl:0 PE:Q VWAP:9.2756 tradesAllDay:440058 RVOL:50000 T:15:38:33
das_cmdapi_live_20260708T193719Z,2026-07-08,NVVE,NVVE,capture_subscribed,PASS,regular_market,2026-07-08T19:42:42+00:00,8.9613,36604415,15027.14925,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,8.94,9.0,8.9613,36604415,$Quote NVVE A:9 Asz:2 B:8.94 Bsz:3 V:36604415 L:8.9613 Hi:11.9794 Lo:4.935 op:5.19 ycl:5.19 tcl:0 PE:Q VWAP:9.2756 tradesAllDay:440058 RVOL:50000 T:15:38:33
das_cmdapi_live_20260708T193719Z,2026-07-08,TVRD,TVRD,capture_started,PASS,regular_market,2026-07-08T19:42:42+00:00,5.0711,34268059,20511977.38,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,5.07,5.09,5.0711,34268059,$Quote TVRD A:5.09 Asz:1 B:5.07 Bsz:3 V:34268059 L:5.0711 Hi:5.13 Lo:3.02 op:3.25 ycl:3.1 tcl:0 PE:Q VWAP:4.3667 tradesAllDay:200566 RVOL:932 T:15:38:41
das_cmdapi_live_20260708T193719Z,2026-07-08,TVRD,TVRD,capture_subscribed,PASS,regular_market,2026-07-08T19:43:07+00:00,5.0711,34268059,20511977.38,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,5.07,5.09,5.0711,34268059,$Quote TVRD A:5.09 Asz:1 B:5.07 Bsz:3 V:34268059 L:5.0711 Hi:5.13 Lo:3.02 op:3.25 ycl:3.1 tcl:0 PE:Q VWAP:4.3667 tradesAllDay:200566 RVOL:932 T:15:38:41
das_cmdapi_live_20260708T193719Z,2026-07-08,LHAI,LHAI,capture_started,PASS,regular_market,2026-07-08T19:43:07+00:00,1.555,26124312,21147210.0,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,1.55,1.56,1.555,26124312,$Quote LHAI A:1.56 Asz:6 B:1.55 Bsz:11 V:26124312 L:1.555 Hi:1.68 Lo:1.36 op:1.395 ycl:1.29 tcl:0 PE:Q VWAP:1.5286 tradesAllDay:97230 RVOL:151 T:15:38:55
das_cmdapi_live_20260708T193719Z,2026-07-08,LHAI,LHAI,capture_subscribed,PASS,regular_market,2026-07-08T19:43:33+00:00,1.555,26124312,21147210.0,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,1.55,1.56,1.555,26124312,$Quote LHAI A:1.56 Asz:6 B:1.55 Bsz:11 V:26124312 L:1.555 Hi:1.68 Lo:1.36 op:1.395 ycl:1.29 tcl:0 PE:Q VWAP:1.5286 tradesAllDay:97230 RVOL:151 T:15:38:55
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,capture_started,PASS,regular_market,2026-07-08T19:43:33+00:00,2.73,3343065,1991428.416,2025-10-22,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,2.71,2.73,2.73,3343065,$Quote ZCMD A:2.73 Asz:5 B:2.71 Bsz:1 V:3343065 L:2.73 Hi:2.97 Lo:2.01 op:2.015 ycl:2.2 tcl:0 PE:Q VWAP:2.5379 tradesAllDay:27431 RVOL:74 T:15:38:54
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,capture_subscribed,PASS,regular_market,2026-07-08T19:43:59+00:00,2.73,3343065,1991428.416,2025-10-22,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,2.71,2.73,2.73,3343065,$Quote ZCMD A:2.73 Asz:5 B:2.71 Bsz:1 V:3343065 L:2.73 Hi:2.97 Lo:2.01 op:2.015 ycl:2.2 tcl:0 PE:Q VWAP:2.5379 tradesAllDay:27431 RVOL:74 T:15:38:54
das_cmdapi_live_20260708T193719Z,2026-07-08,VANI,VANI,capture_started,PASS,regular_market,2026-07-08T19:43:59+00:00,1.585,2010556,63604417.49999999,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,1.58,1.59,1.585,2010556,$Quote VANI A:1.59 Asz:57 B:1.58 Bsz:8 V:2010556 L:1.585 Hi:1.59 Lo:1.33 op:1.36 ycl:1.35 tcl:0 PE:Q VWAP:1.5093 tradesAllDay:7051 RVOL:276 T:15:38:58
das_cmdapi_live_20260708T193719Z,2026-07-08,VANI,VANI,capture_subscribed,PASS,regular_market,2026-07-08T19:44:24+00:00,1.585,2010556,63604417.49999999,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,1.58,1.59,1.585,2010556,$Quote VANI A:1.59 Asz:57 B:1.58 Bsz:8 V:2010556 L:1.585 Hi:1.59 Lo:1.33 op:1.36 ycl:1.35 tcl:0 PE:Q VWAP:1.5093 tradesAllDay:7051 RVOL:276 T:15:38:58
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,capture_started,PASS,regular_market,2026-07-08T19:44:24+00:00,19.35,3097864,982222.64,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,19.25,20.0,19.35,3097864,$Quote SDOT A:20 Asz:3 B:19.25 Bsz:1 V:3097864 L:19.35 Hi:38 Lo:11 op:33.02 ycl:40 tcl:0 PE:Q VWAP:19.893 tradesAllDay:56866 RVOL:78 T:15:38:40
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,capture_subscribed,PASS,regular_market,2026-07-08T19:44:52+00:00,19.35,3097864,982222.64,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,19.25,20.0,19.35,3097864,$Quote SDOT A:20 Asz:3 B:19.25 Bsz:1 V:3097864 L:19.35 Hi:38 Lo:11 op:33.02 ycl:40 tcl:0 PE:Q VWAP:19.893 tradesAllDay:56866 RVOL:78 T:15:38:40
das_cmdapi_live_20260708T193719Z,2026-07-08,INLF,INLF,capture_started,PASS,regular_market,2026-07-08T19:44:52+00:00,3.915,426138,5967301.0033,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,3.84,3.99,3.915,426138,$Quote INLF A:3.99 Asz:4 B:3.84 Bsz:1 V:426138 L:3.915 Hi:4.98 Lo:3.826 op:4.85 ycl:5.35 tcl:0 PE:Q VWAP:4.3089 tradesAllDay:7822 RVOL:27 T:15:38:40
das_cmdapi_live_20260708T193719Z,2026-07-08,INLF,INLF,capture_subscribed,PASS,regular_market,2026-07-08T19:45:19+00:00,3.915,426138,5967301.0033,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,3.84,3.99,3.915,426138,$Quote INLF A:3.99 Asz:4 B:3.84 Bsz:1 V:426138 L:3.915 Hi:4.98 Lo:3.826 op:4.85 ycl:5.35 tcl:0 PE:Q VWAP:4.3089 tradesAllDay:7822 RVOL:27 T:15:38:40
das_cmdapi_live_20260708T193719Z,2026-07-08,CLRO,CLRO,capture_started,PASS,regular_market,2026-07-08T19:45:19+00:00,9.93,5767588,7277879.699999999,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,9.95,10.0,9.93,5767588,$Quote CLRO A:10 Asz:3 B:9.95 Bsz:1 V:5767588 L:9.93 Hi:14.59 Lo:9.5 op:11.87 ycl:13.84 tcl:0 PE:Q VWAP:12.054 tradesAllDay:74228 RVOL:68 T:15:39:30
das_cmdapi_live_20260708T193719Z,2026-07-08,CLRO,CLRO,capture_subscribed,PASS,regular_market,2026-07-08T19:45:44+00:00,9.93,5767588,7277879.699999999,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,9.95,10.0,9.93,5767588,$Quote CLRO A:10 Asz:3 B:9.95 Bsz:1 V:5767588 L:9.93 Hi:14.59 Lo:9.5 op:11.87 ycl:13.84 tcl:0 PE:Q VWAP:12.054 tradesAllDay:74228 RVOL:68 T:15:39:30
das_cmdapi_live_20260708T193719Z,2026-07-08,BTAI,BTAI,capture_started,PASS,regular_market,2026-07-08T19:45:44+00:00,0.8132,4744346,10880960.0,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,0.8003,0.8018,0.8132,4744346,$Quote BTAI A:0.8018 Asz:2 B:0.8003 Bsz:21 V:4744346 L:0.8132 Hi:1.05 Lo:0.7949 op:1.05 ycl:1.04 tcl:0 PE:Q VWAP:0.86535 tradesAllDay:9956 RVOL:578 T:15:39:32
das_cmdapi_live_20260708T193719Z,2026-07-08,BTAI,BTAI,capture_subscribed,PASS,regular_market,2026-07-08T19:46:32+00:00,0.8132,4744346,10880960.0,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,0.8003,0.8018,0.8132,4744346,$Quote BTAI A:0.8018 Asz:2 B:0.8003 Bsz:21 V:4744346 L:0.8132 Hi:1.05 Lo:0.7949 op:1.05 ycl:1.04 tcl:0 PE:Q VWAP:0.86535 tradesAllDay:9956 RVOL:578 T:15:39:32
das_cmdapi_live_20260708T193719Z,2026-07-08,VEEE,VEEE,capture_started,PASS,regular_market,2026-07-08T19:46:32+00:00,4.45,1728170,781344.037,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,started,4.41,4.49,4.45,1728170,$Quote VEEE A:4.49 Asz:1 B:4.41 Bsz:1 V:1728170 L:4.45 Hi:6 Lo:4.22 op:5.86 ycl:5.63 tcl:0 PE:Q VWAP:5.8141 tradesAllDay:26130 RVOL:1698 T:15:38:27
das_cmdapi_live_20260708T193719Z,2026-07-08,VEEE,VEEE,capture_subscribed,PASS,regular_market,2026-07-08T19:47:16+00:00,4.45,1728170,781344.037,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,,True,streaming,4.41,4.49,4.45,1728170,$Quote VEEE A:4.49 Asz:1 B:4.41 Bsz:1 V:1728170 L:4.45 Hi:6 Lo:4.22 op:5.86 ycl:5.63 tcl:0 PE:Q VWAP:5.8141 tradesAllDay:26130 RVOL:1698 T:15:38:27
