run_id,market_date,ticker,symbol,limit_down,limit_up,observed_at_utc,event_line_index,command,stage,raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,17.51,21.4,2026-07-08T19:44:49+00:00,158,SB SDOT MINCHART 2026/07/08-14:44 2026/07/08-15:44 1,candidate_chart_query,$LDLU SDOT 17.51 21.4
das_cmdapi_live_20260708T193719Z,2026-07-08,INLF,INLF,3.53,4.31,2026-07-08T19:44:55+00:00,12,SB INLF Lv1,candidate_subscribe,$LDLU INLF 3.53 4.31
das_cmdapi_live_20260708T193719Z,2026-07-08,INLF,INLF,3.53,4.31,2026-07-08T19:44:58+00:00,18,GET LDLU INLF,candidate_static_query,$LDLU INLF 3.53 4.31
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,17.28,21.12,2026-07-08T19:45:16+00:00,212,SB INLF MINCHART 2026/07/08-14:44 2026/07/08-15:44 1,candidate_chart_query,$LDLU SDOT 17.28 21.12
das_cmdapi_live_20260708T193719Z,2026-07-08,CLRO,CLRO,9.05,11.06,2026-07-08T19:45:22+00:00,13,SB CLRO Lv1,candidate_subscribe,$LDLU CLRO 9.05 11.06
das_cmdapi_live_20260708T193719Z,2026-07-08,CLRO,CLRO,9.05,11.06,2026-07-08T19:45:25+00:00,10,GET LDLU CLRO,candidate_static_query,$LDLU CLRO 9.05 11.06
das_cmdapi_live_20260708T193719Z,2026-07-08,BTAI,BTAI,0.48,1.11,2026-07-08T19:45:47+00:00,17,SB BTAI Lv1,candidate_subscribe,$LDLU BTAI 0.48 1.11
das_cmdapi_live_20260708T193719Z,2026-07-08,NVVE,NVVE,7.85,9.59,2026-07-08T19:45:47+00:00,35,SB BTAI Lv1,candidate_subscribe,$LDLU NVVE 7.85 9.59
das_cmdapi_live_20260708T193719Z,2026-07-08,TVRD,TVRD,5.07,6.19,2026-07-08T19:45:48+00:00,11,GET SHORTINFO BTAI,candidate_static_query,$LDLU TVRD 5.07 6.19
das_cmdapi_live_20260708T193719Z,2026-07-08,BTAI,BTAI,0.48,1.11,2026-07-08T19:45:51+00:00,251,GET LDLU BTAI,candidate_static_query,$LDLU BTAI 0.48 1.11
das_cmdapi_live_20260708T193719Z,2026-07-08,CLRO,CLRO,9.14,11.18,2026-07-08T19:46:13+00:00,510,SB BTAI DAYCHART 2026/06/28 2026/07/08,candidate_chart_query,$LDLU CLRO 9.14 11.18
das_cmdapi_live_20260708T193719Z,2026-07-08,TVRD,TVRD,5.02,6.13,2026-07-08T19:46:19+00:00,512,UNSB BTAI DAYCHART,candidate_chart_query,$LDLU TVRD 5.02 6.13
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2.94,4.41,2026-07-08T19:46:30+00:00,80,UNSB BTAI MINCHART,candidate_chart_query,$LDLU SKYQ 2.94 4.41
das_cmdapi_live_20260708T193719Z,2026-07-08,VEEE,VEEE,3.97,4.85,2026-07-08T19:46:35+00:00,215,SB VEEE Lv1,candidate_subscribe,$LDLU VEEE 3.97 4.85
das_cmdapi_live_20260708T193719Z,2026-07-08,VEEE,VEEE,3.97,4.85,2026-07-08T19:46:42+00:00,319,GET LDLU VEEE,candidate_static_query,$LDLU VEEE 3.97 4.85
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,1.61,3.76,2026-07-08T19:46:45+00:00,297,GET SymStatus VEEE,candidate_static_query,$LDLU ZCMD 1.61 3.76
das_cmdapi_live_20260708T193719Z,2026-07-08,TVRD,TVRD,4.96,6.07,2026-07-08T19:46:50+00:00,546,SB VEEE tms,candidate_subscribe,$LDLU TVRD 4.96 6.07
