ticker,dividend_type,event_date,cash_amount,first_date,last_date,within_daily_window
PTRS,SC,2023-11-17,0.046,2020-08-19,2023-11-30,True
QLI,SC,2023-02-27,0.05,2021-01-12,2024-08-09,True
RAND,SC,2025-12-16,0.56,2005-01-03,2026-03-06,True
RAND,SC,2023-12-15,0.38,2005-01-03,2026-03-06,True
RAND,SC,2022-12-16,0.18,2005-01-03,2026-03-06,True
RBCN,SC,2023-10-24,1.1,2007-11-16,2026-03-05,True
RBCN,SC,2022-08-30,11.0,2007-11-16,2026-03-05,True
RC,SC,2023-05-26,0.26,2005-01-03,2026-03-06,True
RDVT,SC,2025-01-31,0.3,2018-03-27,2026-03-06,True
REFI,SC,2023-12-28,0.29,2021-12-08,2026-03-06,True
REFI,SC,2022-12-29,0.29,2021-12-08,2026-03-06,True
RGR,SC,2022-12-14,5.0,2005-01-03,2026-03-06,True
RPT,SC,2023-12-06,0.05444,2005-01-03,2026-03-06,True
RVI,SC,2022-05-11,2.13,2005-01-03,2026-03-06,True
RWAY,SC,2023-05-12,0.05,2021-10-21,2026-03-06,True
RWAY,SC,2023-03-06,0.05,2021-10-21,2026-03-06,True
SAVE,SC,2023-05-23,0.1,2011-05-26,2024-11-15,True
SAVE,SC,2023-01-24,0.1,2011-05-26,2024-11-15,True
SB,SC,2022-03-18,0.05,2008-05-29,2026-03-06,True
SBSI,SC,2023-11-21,0.02,2005-01-03,2026-03-06,True
SBSI,SC,2022-11-22,0.04,2005-01-03,2026-03-06,True
SBSI,SC,2008-11-24,0.06,2005-01-03,2026-03-06,True
SD,SC,2024-02-02,1.5,2007-11-06,2026-03-06,True
SD,SC,2023-05-23,2.0,2007-11-06,2026-03-06,True
SDA,SC,2008-02-07,0.12544,2005-01-03,2026-03-06,True
SDA,SC,2007-01-03,0.48645,2005-01-03,2026-03-06,True
SDA,SC,2006-02-13,0.18461,2005-01-03,2026-03-06,True
SDA,SC,2005-07-21,0.3605,2005-01-03,2026-03-06,True
SFBC,SC,2021-02-09,0.1,2005-01-03,2026-03-06,True
SFE,SC,2023-12-29,0.35,2005-01-03,2024-02-09,True
SGA,SC,2024-03-15,0.6,2005-01-03,2026-03-06,True
SGA,SC,2023-12-19,2.0,2005-01-03,2026-03-06,True
SGA,SC,2022-12-20,2.0,2005-01-03,2026-03-06,True
SGA,SC,2022-09-30,2.0,2005-01-03,2026-03-06,True
