relative_path,column,rows,nulls,inf_rows,min,max,mean
ticker=CEI/year=2022/day_features_CEI_2022.parquet,distance_to_n_day_high_5,26,2,0,-0.5768500948766604,26.8125,0.8524746443774979
ticker=CEI/year=2022/day_features_CEI_2022.parquet,distance_to_n_day_low_5,26,2,0,0.012793176972281328,76.93345008756567,9.961391742181483
ticker=CEI/year=2022/day_features_CEI_2022.parquet,realized_vol_prev_3_sessions_norm,26,1,0,0.08514970319195303,0.4660837329126373,0.19670531537175096
ticker=CEI/year=2022/day_features_CEI_2022.parquet,overnight_gap_zscore_20,26,6,0,-1.6787533964098686,1993.7957995780398,100.69540187271407
ticker=CEI/year=2022/day_features_CEI_2022.parquet,year,26,0,0,2022.0,2022.0,2022.0
ticker=COSM/year=2022/day_features_COSM_2022.parquet,bar_count_raw,26,0,0,17.0,951.0,653.3076923076923
ticker=COSM/year=2022/day_features_COSM_2022.parquet,open_raw,26,0,0,4.42,15.0,8.597115384615384
ticker=COSM/year=2022/day_features_COSM_2022.parquet,close_raw,26,0,0,4.39,14.2725,8.090861538461537
ticker=COSM/year=2022/day_features_COSM_2022.parquet,high_raw,26,0,0,4.83,23.84,10.489126923076924
ticker=COSM/year=2022/day_features_COSM_2022.parquet,low_raw,26,0,0,0.2301,13.25,6.907796153846154
ticker=COSM/year=2022/day_features_COSM_2022.parquet,cum_volume_session_raw,26,0,0,15959.0,118964249.72,10160325.473846154
ticker=COSM/year=2022/day_features_COSM_2022.parquet,session_vwap_raw,26,0,0,4.466543810559869,14.647370433197207,8.341755503098845
ticker=COSM/year=2022/day_features_COSM_2022.parquet,intraday_return_since_open_raw,26,0,0,-0.32743921692453426,0.5981425287356321,-0.03973649970546457
ticker=COSM/year=2022/day_features_COSM_2022.parquet,session_range_pct_raw,26,0,0,0.014469453376205766,4.342050574712643,0.45819332880416586
ticker=COSM/year=2022/day_features_COSM_2022.parquet,opening_drive_30m_raw,26,0,0,-0.14861751152073732,0.18028169014084505,0.0056654672497670755
ticker=COSM/year=2022/day_features_COSM_2022.parquet,pullback_from_session_high_raw,26,0,0,-0.6354907718120806,-0.0020618556701030855,-0.18226524106192563
ticker=COSM/year=2022/day_features_COSM_2022.parquet,session_vwap_distance_raw,26,0,0,-0.2751278798313821,0.15255125481374332,-0.028265593254145793
ticker=COSM/year=2022/day_features_COSM_2022.parquet,open_norm,26,0,0,0.278,10.0,3.4970230769230763
ticker=COSM/year=2022/day_features_COSM_2022.parquet,close_norm,26,0,0,0.21300000000000002,8.6899,3.3528
ticker=COSM/year=2022/day_features_COSM_2022.parquet,high_norm,26,0,0,0.33490000000000003,23.84,4.731065384615385
ticker=COSM/year=2022/day_features_COSM_2022.parquet,low_norm,26,0,0,0.15,7.5801,2.7490576923076926
ticker=COSM/year=2022/day_features_COSM_2022.parquet,session_range_abs_norm,26,0,0,0.010499999999999954,23.6099,1.9820076923076924
ticker=COSM/year=2022/day_features_COSM_2022.parquet,realized_vol_1d_norm,26,0,0,0.016059619908377804,1.9078892325591679,0.3097669018398848
